,question,allennlp_entities,extracted_entities,image_urls
0,What is a cat?,['a cat'],"[['Animal', 'Animal', 'Simple sugars', 'Animal', 'Animal', 'Animal', 'Animal', 'Animal', 'Animal', 'Storms']]","[['https://upload.wikimedia.org/wikipedia/commons/4/41/Tragelaphus_angasii_-_female_-_Disney%27s_Animal_Kingdom_Lodge_-_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a4/Tragelaphus_angasii_-_female_-_Disney%27s_Animal_Kingdom_Lodge_-_1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/90/Pyridonemech.png', 'https://upload.wikimedia.org/wikipedia/commons/2/24/The_animal_kingdom_%286244016152%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/ca/The_animal_kingdom_%286243499423%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9d/The_animal_kingdom_%286243499845%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b0/The_animal_kingdom_%286244012718%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8b/The_animal_kingdom_%286244012450%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/14/The_animal_kingdom_%286243495369%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/32/Tiny_house_surrounded_by_trees%2C_inhabited_in_the_middle_of_green_paddy_fields_in_sunshine_under_a_stormy_sky_at_golden_hour_in_Laos.jpg']]"
0,How do magnets attract or repel each other?,"['each other', 'magnets']","[['Magnets', 'Magnets', 'Magnets', 'Magnets', 'Magnets', 'Magnets', 'Magnets', 'Magnets', 'Magnets', 'Magnets']]","[['https://upload.wikimedia.org/wikipedia/commons/a/a2/Metal_shavings_around_bar_magnet_%28close-up%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/85/Permanent_Magnets-ru.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/39/Ironfilings_magnetsphere.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/ab/Side_of_one_of_the_magnets_at_CERN.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/75/VFPt_cylindrical_magnet_thumb_potential.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a7/Babbage_and_herchel_experiment.png', 'https://upload.wikimedia.org/wikipedia/commons/6/65/Magnet_compasses_horizontal.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/ba/VFPt_cylindermagnet_Babs-only.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f4/Industries_of_War_-_Magnets_-_Manufacturing_Magnets_for_the_U.S._Government_for_Military_Use_-_NARA_-_45486861.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Magnet_compasses.svg']]"
0,What are the different types of energy?,"['the different types', 'energy', 'the different types of energy']","[['Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy']]","[['https://upload.wikimedia.org/wikipedia/commons/b/b5/Lightning_over_Oradea_Romania_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b5/Energy_employment_as_a_share_of_global_employment%2C_and_by_energy_sector%2C_2019.png', 'https://upload.wikimedia.org/wikipedia/commons/2/27/Energy_employment_in_fossil_fuel_and_clean_energy_sectors.png', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/Energy_employment_in_fossil_fuel_and_clean_energy_sectors_by_region_2019.png', 'https://upload.wikimedia.org/wikipedia/commons/6/69/Employment_in_selected_energy_subsectors%2C_2019.png', 'https://upload.wikimedia.org/wikipedia/commons/8/8d/Energy_employment_by_region_and_economic_sector%2C_2019.png', 'https://upload.wikimedia.org/wikipedia/commons/9/9e/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6_%E0%A6%AA%E0%A6%B0%E0%A6%AE%E0%A6%BE%E0%A6%A3%E0%A7%81_%E0%A6%B6%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF_%E0%A6%95%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0_%28Atomic_Energy_Centre%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/69/Lightning_in_Arlington.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a1/Kreikan_Energian_tuotanto_2020.png', 'https://upload.wikimedia.org/wikipedia/commons/5/5d/D%C3%A9composition_Kaya_Transports_-_Les_5_leviers_de_d%C3%A9carbonation_entre_sobri%C3%A9t%C3%A9_et_technologie.png']]"
0,How does the human circulatory system work?,['the human circulatory system'],"[['Blood circulatory system', 'Blood circulatory system', 'Blood circulatory system', 'Blood circulatory system', 'Blood circulatory system', 'Blood circulatory system', 'Blood circulatory system', 'Blood circulatory system', 'Blood circulatory system', 'Blood circulatory system']]","[['https://upload.wikimedia.org/wikipedia/commons/d/d3/Blood_vessels-en.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/35/Circulatory_system.tif', 'https://upload.wikimedia.org/wikipedia/commons/d/d7/Blood_vessels_%28retouched%29_-sl.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/49/Circulatory_systems_in_the_animal_kingdom.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/1b/Diagram_showing_the_circulatory_system_of_the_body_CRUK_299.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/cd/Warm-blooded_Circulation.png', 'https://upload.wikimedia.org/wikipedia/commons/9/9a/Blood_vessels_fr.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/74/Grafik_blutkreislauf.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f4/Brain_blood_vasculature_as_a_function_of_blood_flow_-_journal.pbio.1001375.g001.png', 'https://upload.wikimedia.org/wikipedia/commons/3/3f/Blood_vessels_%28retouched%29_-en.svg']]"
0,How does water change from one state to another?,"['one state', 'water', 'another']","[['Water', 'Water', 'Water', 'Water', 'Water', 'Water', 'Water', 'Water', 'Water', 'Water']]","[['https://upload.wikimedia.org/wikipedia/commons/f/ff/H2O.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/25/H2O.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b7/H2O_2D_labelled.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/1c/Water_molecule_3D.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e9/Water_molecule_dimensions.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/43/2006-01-14_Surface_waves.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fd/Splash_2_color.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/07/Water_molecule.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b7/Aquamarine_water_pool_at_Bumpass_Hell-8882.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d5/Three_buffaloes_heads_above_water_in_Si_Phan_Don.jpg']]"
0,How do simple machines make work easier?,"['simple machines', 'work']","[['Progress', 'Progress', 'Progress', 'Progress', 'Progress', 'Bone cells', 'Daily life', 'Daily life', 'Daily life', 'Global citizens']]","[['https://upload.wikimedia.org/wikipedia/commons/4/4e/Leading_countries_for_annual_mean_population-weighted_PM2%C2%B75_concentration_and_population-weighted_exposed_days_in_2000%2C_2010%2C_and_2019.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/75/Growth_of_Library_Genesis%2C_2009-2022.png', 'https://upload.wikimedia.org/wikipedia/commons/8/84/Global_child_mortality_over_time.png', 'https://upload.wikimedia.org/wikipedia/commons/8/87/World-population-in-extreme-poverty-absolute.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/28/Literate_and_illiterate_world_population_over_time.png', 'https://upload.wikimedia.org/wikipedia/commons/1/1c/Mammal_compact_Bone_cells.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8f/-Personal_Travel_Album_Made_by_the_Dowager_Empress_Maria_Feoderovna_Showing_Events_in_the_Daily_Life_of_the_Russian_Imperial_Family-_MET_DP110388.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2a/-Personal_Travel_Album_Made_by_the_Dowager_Empress_Maria_Feoderovna_Showing_Events_in_the_Daily_Life_of_the_Russian_Imperial_Family-_MET_DP110390.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/81/Muslim_Community-_Everyday_Life_in_Butetown%2C_Cardiff%2C_Wales%2C_UK%2C_1943_D15292.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/37/Shakira_%26_Chris_Martin_-_Global_Citizen_Festival_Hamburg_04.jpg']]"
0,What are the parts of a plant cell?,"['the parts of a plant cell', 'the parts', 'a plant cell']","[['Plant cell', 'Plant cell', 'Plant cell', 'Plant cell', 'Plant cell', 'Water sharing', 'plant cells', 'plant cells', 'plant cells', 'plant cells']]","[['https://upload.wikimedia.org/wikipedia/commons/f/fe/Plant_cell_wall_diagram-lat.png', 'https://upload.wikimedia.org/wikipedia/commons/2/25/%CE%95%CF%85%CE%BA%CE%B1%CF%81%CF%85%CF%89%CF%84%CE%B9%CE%BA%CF%8C_%CE%BA%CF%8D%CF%84%CF%84%CE%B1%CF%81%CE%BF_%28%CF%86%CF%85%CF%84%CE%B9%CE%BA%CF%8C%29.png', 'https://upload.wikimedia.org/wikipedia/commons/6/65/Differences_between_simple_animal_and_plant_cells_%28en%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/57/Cell_membrane_in_Rheo_leaf_cell.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/ba/Plant_cell_telophase.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/35/Reflection_in_water%2C_glare_on_water._img_041.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f1/Plant_cell_structure-ru-v2.png', 'https://upload.wikimedia.org/wikipedia/commons/2/2c/Plant_cell_structure-ru-v1.png', 'https://upload.wikimedia.org/wikipedia/commons/a/a8/Elodea_cells_under_microscope.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/cc/Red_onion_cells_%28microscope_observation%29.jpg']]"
0,What are the properties of sound?,"['the properties of sound', 'the properties', 'sound']","[['sound', 'sound', 'sound', 'sound', 'sound', 'sound', 'sound', 'sound', 'sound', 'sound']]","[['https://upload.wikimedia.org/wikipedia/commons/0/0a/Sands_of_Sound_from_the_Ness_of_Sound_-_geograph.org.uk_-_3751336.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6d/QueenCharlotteSound01LB.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/10/Processing_of_sound-ca.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a9/Reid%E2%80%A2Rambles%C2%B7on%C2%B7the%C2%B7Golden%C2%B7Coast%E2%80%A21886%E2%80%A2117%E2%80%A2Illustration--Dusky%C2%B7Sound%C2%B7%28p088%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/31/Processing_of_sound.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/51/Reid%E2%80%A2Rambles%C2%B7on%C2%B7the%C2%B7Golden%C2%B7Coast%E2%80%A21886%E2%80%A2043%E2%80%A2Illustration--George%C2%B7Sound%C2%B7%28p028%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5e/M%C2%B3_%28the_sound_in_between_invisible_and_visible%29%2C_64m%C2%B3_%282017%29%2C_Sound_Room_%40Asia_Culture_Center%2C_GRAYCODE%28Taebok_Cho%29.png', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/3D_sound_localization_of_a_large_compressor.png', 'https://upload.wikimedia.org/wikipedia/commons/2/2d/Puget_Sound_Basin.gif', 'https://upload.wikimedia.org/wikipedia/commons/9/90/OpSound_Logo.jpg']]"
0,What causes the seasons on Earth?,"['the seasons on Earth', 'Earth', 'the seasons']","[['Earth', 'Earth', 'Earth', 'Earth', 'Earth', 'Earth', 'Earth', 'Earth', 'Earth', 'Earth']]","[['https://upload.wikimedia.org/wikipedia/commons/0/0d/Africa_and_Europe_from_a_Million_Miles_Away.png', 'https://upload.wikimedia.org/wikipedia/commons/7/75/Die_Erdkugel_vom_Weltraum_aus_betrachtet.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1f/As08-16-2593.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2c/North_America_from_low_orbiting_satellite_Suomi_NPP.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0f/Earth_and_the_Clouds_of_Jupiter_%284078804254%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e3/Mercury_and_Earth_%284077538249%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f5/Radar_Views_Earth_and_Venus_%284078292612%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/83/Mass_versus_weight_in_earth_and_mars.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a9/Rotating_earth_%28large%29_transparent.gif', 'https://upload.wikimedia.org/wikipedia/commons/7/7b/Rifts_on_Venus%2C_Earth%2C_and_Mars_%284110039732%29.jpg']]"
0,"What is the difference between a solid, liquid, and gas?","['the difference between a solid , liquid , and gas', 'the difference', 'a solid , liquid , and gas']","[['Solids', 'Solids', 'Solids', 'Solids', 'Solids', 'Solids', 'Solids', 'Solids', 'Solids', 'Solids']]","[['https://upload.wikimedia.org/wikipedia/commons/a/a0/Solid_state_of_matter.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4b/Solid-separated-in-beaker.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/af/Different_minerals.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/dc/Teilchenmodell_Feststoff.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/2b/Atombau_-_fest.png', 'https://upload.wikimedia.org/wikipedia/commons/7/77/Platonic_Solids_Transparent.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7b/Structure_polymere_echelle.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/3e/Platonic_Solids_Composition_51.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/31/Kepler-Poinsot_solids_%28es%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/44/Platonic_Solids_Stereo_5_-_Icosahedron.gif']]"
