,question,allennlp_entities,extracted_entities,image_urls
0,What is a cat?,['a cat'],"[['Animal', 'Animal', 'Simple sugars', 'Animal', 'Animal', 'Animal', 'Animal', 'Animal', 'Animal', 'Storms']]","[['https://upload.wikimedia.org/wikipedia/commons/4/41/Tragelaphus_angasii_-_female_-_Disney%27s_Animal_Kingdom_Lodge_-_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a4/Tragelaphus_angasii_-_female_-_Disney%27s_Animal_Kingdom_Lodge_-_1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/90/Pyridonemech.png', 'https://upload.wikimedia.org/wikipedia/commons/2/24/The_animal_kingdom_%286244016152%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/ca/The_animal_kingdom_%286243499423%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9d/The_animal_kingdom_%286243499845%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b0/The_animal_kingdom_%286244012718%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8b/The_animal_kingdom_%286244012450%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/14/The_animal_kingdom_%286243495369%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/32/Tiny_house_surrounded_by_trees%2C_inhabited_in_the_middle_of_green_paddy_fields_in_sunshine_under_a_stormy_sky_at_golden_hour_in_Laos.jpg']]"
0,How do magnets attract or repel each other?,"['magnets', 'each other']","[['Magnets', 'Magnets', 'Magnets', 'Magnets', 'Magnets'], ['Friend', 'Friend', 'Blood corpuscles', 'Farming', 'Friends']]","[['https://upload.wikimedia.org/wikipedia/commons/a/a2/Metal_shavings_around_bar_magnet_%28close-up%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/85/Permanent_Magnets-ru.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/39/Ironfilings_magnetsphere.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/ab/Side_of_one_of_the_magnets_at_CERN.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/75/VFPt_cylindrical_magnet_thumb_potential.svg'], ['https://upload.wikimedia.org/wikipedia/commons/e/e6/3_barefoot_females_smiling_and_sitting_on_a_bench.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/31/Uranie_Alphonsine_Colin-Libour_-les_2_amies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ab/BloodCellState_114_image_of_a_state_of_a_blood_cell.png', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Farming-on-Indonesia.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b5/Friends_indian.jpg']]"
0,What are the different types of energy?,"['the different types', 'energy', 'the different types of energy']","[['Classification', 'Classification', 'Classification'], ['Energy', 'Energy', 'Energy'], ['Forms of energy', 'Forms of energy', 'Forms of energy']]","[['https://upload.wikimedia.org/wikipedia/commons/3/32/K%C3%B6ppen-Geiger_Climate_Classification_Map_%281980%E2%80%932016%29_no_borders.png', 'https://upload.wikimedia.org/wikipedia/commons/d/d5/K%C3%B6ppen-Geiger_Climate_Classification_Map.png', 'https://upload.wikimedia.org/wikipedia/commons/a/a7/Traditional_classification_of_mixotrophic_protists.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/b/b5/Lightning_over_Oradea_Romania_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b5/Energy_employment_as_a_share_of_global_employment%2C_and_by_energy_sector%2C_2019.png', 'https://upload.wikimedia.org/wikipedia/commons/2/27/Energy_employment_in_fossil_fuel_and_clean_energy_sectors.png'], ['https://upload.wikimedia.org/wikipedia/commons/d/d6/Energy_Arc_%28central_electrode_of_a_Plasma_Lamp%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ab/Different_energy_forms_%28PES%29.png', 'https://upload.wikimedia.org/wikipedia/commons/d/de/Different_energy_forms_%28EC%29.png']]"
0,How does the human circulatory system work?,['the human circulatory system'],"[['Blood circulatory system', 'Blood circulatory system', 'Blood circulatory system', 'Blood circulatory system', 'Blood circulatory system', 'Blood circulatory system', 'Blood circulatory system', 'Blood circulatory system', 'Blood circulatory system', 'Blood circulatory system']]","[['https://upload.wikimedia.org/wikipedia/commons/d/d3/Blood_vessels-en.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/35/Circulatory_system.tif', 'https://upload.wikimedia.org/wikipedia/commons/d/d7/Blood_vessels_%28retouched%29_-sl.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/49/Circulatory_systems_in_the_animal_kingdom.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/1b/Diagram_showing_the_circulatory_system_of_the_body_CRUK_299.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/cd/Warm-blooded_Circulation.png', 'https://upload.wikimedia.org/wikipedia/commons/9/9a/Blood_vessels_fr.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/74/Grafik_blutkreislauf.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f4/Brain_blood_vasculature_as_a_function_of_blood_flow_-_journal.pbio.1001375.g001.png', 'https://upload.wikimedia.org/wikipedia/commons/3/3f/Blood_vessels_%28retouched%29_-en.svg']]"
0,How does water change from one state to another?,"['one state', 'water', 'another']","[['Pure state', 'Pure state', 'Pure state'], ['Water', 'Water', 'Water'], ['One point', 'Confused', 'Confused']]","[['https://upload.wikimedia.org/wikipedia/commons/3/34/Unambiguous_quantum_state_discrimination_-_animation.gif', 'https://upload.wikimedia.org/wikipedia/commons/b/b3/Minimum_error_quantum_state_discrimination_-_animation.gif', 'https://upload.wikimedia.org/wikipedia/commons/d/db/Unambiguous_quantum_state_discrimination_-_example.svg'], ['https://upload.wikimedia.org/wikipedia/commons/f/ff/H2O.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/25/H2O.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b7/H2O_2D_labelled.svg'], ['https://upload.wikimedia.org/wikipedia/commons/b/b3/2020_Castaways_Sculpture_Awards%2C_%22One_Point_Five%22_by_Janice_O%27Meara.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/Confused_Felipe.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/dd/Noun_dizziness_2017370.svg']]"
0,How do simple machines make work easier?,"['work', 'simple machines']","[['Bone cells', 'Daily life', 'Daily life', 'Daily life', 'Global citizens'], ['Short circuits', 'Short circuits', 'Short circuits', 'Short circuits', 'Short circuits']]","[['https://upload.wikimedia.org/wikipedia/commons/1/1c/Mammal_compact_Bone_cells.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8f/-Personal_Travel_Album_Made_by_the_Dowager_Empress_Maria_Feoderovna_Showing_Events_in_the_Daily_Life_of_the_Russian_Imperial_Family-_MET_DP110388.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2a/-Personal_Travel_Album_Made_by_the_Dowager_Empress_Maria_Feoderovna_Showing_Events_in_the_Daily_Life_of_the_Russian_Imperial_Family-_MET_DP110390.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/81/Muslim_Community-_Everyday_Life_in_Butetown%2C_Cardiff%2C_Wales%2C_UK%2C_1943_D15292.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/37/Shakira_%26_Chris_Martin_-_Global_Citizen_Festival_Hamburg_04.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/b/be/Crossed_wires.JPG', 'https://upload.wikimedia.org/wikipedia/commons/6/64/Short_Circuit_Current.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/dd/%E7%9F%AD%E7%B5%A1%28Short_circuit%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5d/Short_circuit_by_water_RJ45_PoE.JPG', 'https://upload.wikimedia.org/wikipedia/commons/f/fd/Court-circuit_A.PNG']]"
0,What are the parts of a plant cell?,"['the parts of a plant cell', 'a plant cell', 'the parts']","[['Plant cell', 'Plant cell', 'Plant cell'], ['Plant cell', 'Plant cell', 'Plant cell'], ['Bones', 'Bones', 'Bones']]","[['https://upload.wikimedia.org/wikipedia/commons/f/fe/Plant_cell_wall_diagram-lat.png', 'https://upload.wikimedia.org/wikipedia/commons/2/25/%CE%95%CF%85%CE%BA%CE%B1%CF%81%CF%85%CF%89%CF%84%CE%B9%CE%BA%CF%8C_%CE%BA%CF%8D%CF%84%CF%84%CE%B1%CF%81%CE%BF_%28%CF%86%CF%85%CF%84%CE%B9%CE%BA%CF%8C%29.png', 'https://upload.wikimedia.org/wikipedia/commons/6/65/Differences_between_simple_animal_and_plant_cells_%28en%29.svg'], ['https://upload.wikimedia.org/wikipedia/commons/f/fe/Plant_cell_wall_diagram-lat.png', 'https://upload.wikimedia.org/wikipedia/commons/2/25/%CE%95%CF%85%CE%BA%CE%B1%CF%81%CF%85%CF%89%CF%84%CE%B9%CE%BA%CF%8C_%CE%BA%CF%8D%CF%84%CF%84%CE%B1%CF%81%CE%BF_%28%CF%86%CF%85%CF%84%CE%B9%CE%BA%CF%8C%29.png', 'https://upload.wikimedia.org/wikipedia/commons/6/65/Differences_between_simple_animal_and_plant_cells_%28en%29.svg'], ['https://upload.wikimedia.org/wikipedia/commons/7/73/Gray252.png', 'https://upload.wikimedia.org/wikipedia/commons/f/f9/Sphenoid_bone_and_zygomatic_bone_-_animation.gif', 'https://upload.wikimedia.org/wikipedia/commons/6/66/Sphenoid_bone_and_zygomatic_bone_-_lateral_view2.png']]"
0,What are the properties of sound?,"['the properties of sound', 'the properties', 'sound']","[['Sound energy', 'Sound energy', 'Sound energy'], ['Specific properties', 'Specific properties', 'Specific properties'], ['sound', 'sound', 'sound']]","[['https://upload.wikimedia.org/wikipedia/commons/1/16/2009_Puget_Sound_Energy_logo.png', 'https://upload.wikimedia.org/wikipedia/commons/9/95/Puget_Sound_Energy_buildings%28cropped%29%2C_Aerial_Bellevue_Washington_November_2011.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/63/PSM_V19_D343_Sound_generated_by_radiant_energy_experiment.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/3/3e/Pressure-specific_volume_chart_for_steam%2C_in_US_units.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/dc/Soils%2C_their_properties_and_management_%281915%29_%2820795877542%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1d/Soils%2C_their_properties_and_management_%281915%29_%2820184385953%29.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/0/0a/Sands_of_Sound_from_the_Ness_of_Sound_-_geograph.org.uk_-_3751336.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6d/QueenCharlotteSound01LB.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/10/Processing_of_sound-ca.jpg']]"
0,What causes the seasons on Earth?,"['Earth', 'the seasons', 'the seasons on Earth']","[['Earth', 'Earth', 'Earth'], ['Televisions', 'Televisions', 'Televisions'], ['The earth', 'The earth', 'The earth']]","[['https://upload.wikimedia.org/wikipedia/commons/0/0d/Africa_and_Europe_from_a_Million_Miles_Away.png', 'https://upload.wikimedia.org/wikipedia/commons/7/75/Die_Erdkugel_vom_Weltraum_aus_betrachtet.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1f/As08-16-2593.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/4/40/Cptvdisplay.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/78/Early_portable_tv.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ee/Braun_HF_1.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/3/36/3d_earth_globe.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/BlackMarble_2016_rotating_globe_at_night_transparent.gif', 'https://upload.wikimedia.org/wikipedia/commons/a/af/BlackMarble20161km.jpg']]"
0,"What is the difference between a solid, liquid, and gas?","['the difference between a solid , liquid , and gas', 'a solid , liquid , and gas', 'the difference']","[['Solids', 'Solids', 'Solids'], ['Solids', 'Solids', 'Solids'], ['Confusion', 'Confusion', 'Confusion']]","[['https://upload.wikimedia.org/wikipedia/commons/a/a0/Solid_state_of_matter.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4b/Solid-separated-in-beaker.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/af/Different_minerals.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/a/a0/Solid_state_of_matter.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4b/Solid-separated-in-beaker.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/af/Different_minerals.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/b/b5/Noun_confusion_2900892.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7b/Noun_confusion_Delwar_781825.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/66/Autism_Double_Empathy_1.png']]"
