,answer,allennlp_entities,extracted_entities,image_urls
0,"A cat is a small, domesticated mammal that is often kept as a pet","['A cat', 'a pet', 'a small , domesticated mammal that is often kept as a pet', 'a small , domesticated mammal']","[['Animal', 'Animal', 'Simple sugars', 'Animal', 'Animal', 'Animal', 'Animal', 'Animal', 'Animal', 'Animal']]","[['https://upload.wikimedia.org/wikipedia/commons/4/41/Tragelaphus_angasii_-_female_-_Disney%27s_Animal_Kingdom_Lodge_-_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a4/Tragelaphus_angasii_-_female_-_Disney%27s_Animal_Kingdom_Lodge_-_1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/90/Pyridonemech.png', 'https://upload.wikimedia.org/wikipedia/commons/2/24/The_animal_kingdom_%286244016152%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/ca/The_animal_kingdom_%286243499423%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9d/The_animal_kingdom_%286243499845%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b0/The_animal_kingdom_%286244012718%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8b/The_animal_kingdom_%286244012450%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/14/The_animal_kingdom_%286243495369%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/54/The_animal_kingdom_%286243498145%29.jpg']]"
0,Magnets have a property called magnetic force,"['Magnets', 'a property', 'a property called magnetic force', 'magnetic force']","[['Magnets', 'Magnets', 'Magnets', 'Magnets', 'Magnets', 'Magnets', 'Magnets', 'Magnets', 'Magnets', 'Magnets']]","[['https://upload.wikimedia.org/wikipedia/commons/a/a2/Metal_shavings_around_bar_magnet_%28close-up%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/85/Permanent_Magnets-ru.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/39/Ironfilings_magnetsphere.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/ab/Side_of_one_of_the_magnets_at_CERN.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/75/VFPt_cylindrical_magnet_thumb_potential.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a7/Babbage_and_herchel_experiment.png', 'https://upload.wikimedia.org/wikipedia/commons/6/65/Magnet_compasses_horizontal.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/ba/VFPt_cylindermagnet_Babs-only.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f4/Industries_of_War_-_Magnets_-_Manufacturing_Magnets_for_the_U.S._Government_for_Military_Use_-_NARA_-_45486861.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Magnet_compasses.svg']]"
0,There are several different types of energy,"['energy', 'several different types of energy', 'several different types']","[['Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy']]","[['https://upload.wikimedia.org/wikipedia/commons/b/b5/Lightning_over_Oradea_Romania_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b5/Energy_employment_as_a_share_of_global_employment%2C_and_by_energy_sector%2C_2019.png', 'https://upload.wikimedia.org/wikipedia/commons/2/27/Energy_employment_in_fossil_fuel_and_clean_energy_sectors.png', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/Energy_employment_in_fossil_fuel_and_clean_energy_sectors_by_region_2019.png', 'https://upload.wikimedia.org/wikipedia/commons/6/69/Employment_in_selected_energy_subsectors%2C_2019.png', 'https://upload.wikimedia.org/wikipedia/commons/8/8d/Energy_employment_by_region_and_economic_sector%2C_2019.png', 'https://upload.wikimedia.org/wikipedia/commons/9/9e/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6_%E0%A6%AA%E0%A6%B0%E0%A6%AE%E0%A6%BE%E0%A6%A3%E0%A7%81_%E0%A6%B6%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF_%E0%A6%95%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0_%28Atomic_Energy_Centre%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/69/Lightning_in_Arlington.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a1/Kreikan_Energian_tuotanto_2020.png', 'https://upload.wikimedia.org/wikipedia/commons/5/5d/D%C3%A9composition_Kaya_Transports_-_Les_5_leviers_de_d%C3%A9carbonation_entre_sobri%C3%A9t%C3%A9_et_technologie.png']]"
0,"The human circulatory system, also known as the cardiovascular system, is responsible for transporting blood, oxygen, and nutrients throughout the body","['oxygen', 'blood , oxygen , and nutrients', 'the cardiovascular system', 'The human circulatory system , also known as the cardiovascular system ,', 'nutrients', 'the body', 'The human circulatory system']","[['Nutrients', 'Nutrients', 'Nutrients', 'Nutrients', 'Nutrients', 'Nutrients', 'Nutrients', 'Nutrients', 'Bigotry', 'Essential nutrients']]","[['https://upload.wikimedia.org/wikipedia/commons/7/78/COMMON_NUTRIENTS_LACKING_IN_MEAT-01.png', 'https://upload.wikimedia.org/wikipedia/commons/8/8c/Soil_nutrient_budget.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/39/Cycling_of_nutrients_by_an_individual_krill.webp', 'https://upload.wikimedia.org/wikipedia/commons/c/c0/Healthy_Food_-_Colourful_Fruit_and_Veg_-_50191699151.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/49/Bakejo_de_lava%C5%9Do_kaj_vendejo_de_hejmfaritaj_nutra%C4%B5oj_en_Kotajka_provinco%2C_Armenio_07.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c6/Nutrient_cycle-pa.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/Vitamin_Content_of_an_Apple.png', 'https://upload.wikimedia.org/wikipedia/commons/a/a2/Iowa_nutrient_management_training.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/23/Southern_Nepal.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f9/Nutrient_Management01_%2824013145787%29.jpg']]"
0,Water can change from one state to another through a process called phase change,"['Water', 'a process', 'another', 'one state', 'phase change', 'a process called phase change']","[['Water', 'Water', 'Water', 'Water', 'Water', 'Water', 'Water', 'Water', 'Water', 'Water']]","[['https://upload.wikimedia.org/wikipedia/commons/f/ff/H2O.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/25/H2O.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b7/H2O_2D_labelled.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/1c/Water_molecule_3D.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e9/Water_molecule_dimensions.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/43/2006-01-14_Surface_waves.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fd/Splash_2_color.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/07/Water_molecule.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b7/Aquamarine_water_pool_at_Bumpass_Hell-8882.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d5/Three_buffaloes_heads_above_water_in_Si_Phan_Don.jpg']]"
0,Simple machines are tools that help us do work more easily,"['Simple machines', 'tools', 'tools that help us do work more easily']","[['Hammer', 'Hammer', 'Hammer', 'Hammer', 'Hammer', 'Hammer', 'Hammer', 'Hammer', 'Hammer', 'Hammer']]","[['https://upload.wikimedia.org/wikipedia/commons/0/0b/-Workman_Holding_a_Wrench_and_Hammer-_MET_DP700415.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d3/-Carpenter_with_Saw%2C_Hammer%2C_and_Jointer-_MET_DP700436.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/01/-Carpenter_with_Saw%2C_Hammer%2C_and_Jointer-_MET_DP700437.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d4/-Slate_Roofer_Holding_Slate_Hammer_and_Iron_Bar-_MET_DP700292.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2e/-Kneeling_Carpenter_Holding_a_Nail_and_Raised_Hammer-_MET_DP700338.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ef/-Slate_Roofer_Holding_Slate_Hammer_and_Iron_Bar-_MET_DP700294.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c8/-Man_in_Top_Hat_Holding_a_Hammer_and_Wrench-_MET_DP700364.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/83/-Kneeling_Carpenter_Holding_a_Nail_and_Raised_Hammer-_MET_DP700339.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/93/-Man_in_Top_Hat_Holding_a_Hammer_and_Wrench-_MET_DP700365.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/48/-Two_Carpenters_with_a_Handsaw%2C_Wood_Plane%2C_Hammer%2C_Compass%2C_and_Square-_MET_DP700370.jpg']]"
0,"A plant cell has several important parts:

1","['A plant cell', 'several important parts : 1', 'several important parts']","[['Plant cell', 'Plant cell', 'Plant cell', 'Plant cell', 'Plant cell', 'Water sharing', 'plant cells', 'plant cells', 'plant cells', 'plant cells']]","[['https://upload.wikimedia.org/wikipedia/commons/f/fe/Plant_cell_wall_diagram-lat.png', 'https://upload.wikimedia.org/wikipedia/commons/2/25/%CE%95%CF%85%CE%BA%CE%B1%CF%81%CF%85%CF%89%CF%84%CE%B9%CE%BA%CF%8C_%CE%BA%CF%8D%CF%84%CF%84%CE%B1%CF%81%CE%BF_%28%CF%86%CF%85%CF%84%CE%B9%CE%BA%CF%8C%29.png', 'https://upload.wikimedia.org/wikipedia/commons/6/65/Differences_between_simple_animal_and_plant_cells_%28en%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/57/Cell_membrane_in_Rheo_leaf_cell.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/ba/Plant_cell_telophase.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/35/Reflection_in_water%2C_glare_on_water._img_041.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f1/Plant_cell_structure-ru-v2.png', 'https://upload.wikimedia.org/wikipedia/commons/2/2c/Plant_cell_structure-ru-v1.png', 'https://upload.wikimedia.org/wikipedia/commons/a/a8/Elodea_cells_under_microscope.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/cc/Red_onion_cells_%28microscope_observation%29.jpg']]"
0,Sound is a form of energy that we can hear,"['energy', 'Sound', 'a form', 'a form of energy that we can hear']","[['Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy']]","[['https://upload.wikimedia.org/wikipedia/commons/b/b5/Lightning_over_Oradea_Romania_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b5/Energy_employment_as_a_share_of_global_employment%2C_and_by_energy_sector%2C_2019.png', 'https://upload.wikimedia.org/wikipedia/commons/2/27/Energy_employment_in_fossil_fuel_and_clean_energy_sectors.png', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/Energy_employment_in_fossil_fuel_and_clean_energy_sectors_by_region_2019.png', 'https://upload.wikimedia.org/wikipedia/commons/6/69/Employment_in_selected_energy_subsectors%2C_2019.png', 'https://upload.wikimedia.org/wikipedia/commons/8/8d/Energy_employment_by_region_and_economic_sector%2C_2019.png', 'https://upload.wikimedia.org/wikipedia/commons/9/9e/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6_%E0%A6%AA%E0%A6%B0%E0%A6%AE%E0%A6%BE%E0%A6%A3%E0%A7%81_%E0%A6%B6%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF_%E0%A6%95%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0_%28Atomic_Energy_Centre%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/69/Lightning_in_Arlington.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a1/Kreikan_Energian_tuotanto_2020.png', 'https://upload.wikimedia.org/wikipedia/commons/5/5d/D%C3%A9composition_Kaya_Transports_-_Les_5_leviers_de_d%C3%A9carbonation_entre_sobri%C3%A9t%C3%A9_et_technologie.png']]"
0,The seasons on Earth are caused by the tilt of the Earth's axis and its orbit around the Sun,"['its orbit', 'the Sun', 'its orbit around the Sun', ""the tilt of the Earth 's axis and its orbit around the Sun"", 'The seasons on Earth', 'The seasons', 'Earth', 'the tilt', ""the Earth 's axis"", ""the Earth 's""]","[['Earth', 'Earth', 'Earth', 'Earth', 'Earth', 'Earth', 'Earth', 'Earth', 'Earth', 'Earth']]","[['https://upload.wikimedia.org/wikipedia/commons/0/0d/Africa_and_Europe_from_a_Million_Miles_Away.png', 'https://upload.wikimedia.org/wikipedia/commons/7/75/Die_Erdkugel_vom_Weltraum_aus_betrachtet.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1f/As08-16-2593.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2c/North_America_from_low_orbiting_satellite_Suomi_NPP.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0f/Earth_and_the_Clouds_of_Jupiter_%284078804254%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e3/Mercury_and_Earth_%284077538249%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f5/Radar_Views_Earth_and_Venus_%284078292612%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/83/Mass_versus_weight_in_earth_and_mars.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a9/Rotating_earth_%28large%29_transparent.gif', 'https://upload.wikimedia.org/wikipedia/commons/7/7b/Rifts_on_Venus%2C_Earth%2C_and_Mars_%284110039732%29.jpg']]"
0,"Solids, liquids, and gases are the three main states of matter","['the three main states', 'matter', 'Solids , liquids , and gases', 'the three main states of matter']","[['States of matter', 'States of matter', 'States of matter', 'States of matter', 'States of matter', 'States of matter', 'States of matter', 'States of matter', 'States of matter', 'States of matter']]","[['https://upload.wikimedia.org/wikipedia/commons/0/05/Phase_change_-_ru.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7b/States-of-matter-template.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8f/Physics_matter_state_transition_1_en.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/87/Dark_Matter_27x39_ENGLISH.png', 'https://upload.wikimedia.org/wikipedia/commons/d/da/PV_diagram_of_CO2%2C_from_%22On_the_Continuity_of_the_Gaseous_and_Liquid_States_of_Matter%22.png', 'https://upload.wikimedia.org/wikipedia/commons/f/f7/Black_Lives_Matter_Plaza.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/54/Black_lives_matter_in_charlotte.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/15/Black_Lives_Matter_Plaza_3.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0b/Phase%2C_blank_placeholder.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e3/Solid_phase%2C_icon_in_black-and-white.svg']]"
